inspection_id (PK),track_id (FK),inspection_date,inspection_mode,rail_temperature_celsius,ride_quality_index,source_table,defect_id (PK),inspection_id (FK),defect_type,severity_level,exact_km_post,is_rectified,work_order_id (PK),defect_id (FK),activity_classification,priority,job_status,creation_date,target_completion_date,request_id,asset_id,asset_type,issue_description,reported_by,reported_date,status,assigned_to,scheduled_date,completion_date,remarks,cost_estimate,approval_status,department,section_id,req_duration_min,criticality,days_overdue,traffic_block_req,power_block_req,urgency_score,synergy_candidate,machine_id (PK),machine_name,deployment_id (PK),work_order_id (FK),machine_id (FK),runtime_hours,deployment_date
,,,,,,TDMS_track_defects,DEF-007,INSP-006,Ballast Contamination,Medium,162.1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-008,INSP-007,Lateral wear,Critical,215.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-009,INSP-007,Loose Fastening,Low,218.9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-010,INSP-008,Vertical wear,High,275.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-011,INSP-009,Minor Rail Wear,Low,340.1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-012,INSP-010,Lateral wear,Medium,395.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-013,INSP-010,Sleepers Damaged,High,398.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-014,INSP-011,Weld Failure,High,460.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-015,INSP-012,Loose Fastening,Low,520.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-016,INSP-012,Minor Rail Wear,Medium,522.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-017,INSP-013,Ballast Contamination,Medium,585.1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-018,INSP-013,Rail Fracture,High,588.9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-019,INSP-021,Missing Fastening,Low,1114.9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-020,INSP-008,Ballast Deficiency,High,162.7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-021,INSP-019,Ballast Contamination,Low,54.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-022,INSP-008,Rail Fracture,High,306.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-023,INSP-008,Sleepers Damaged,High,424.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-024,INSP-025,Ballast Deficiency,High,639.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-025,INSP-005,Loose Fastening,Medium,162.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-026,INSP-004,Weld Failure,Medium,909.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-027,INSP-024,Sleepers Damaged,High,196.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-028,INSP-003,Minor Rail Wear,High,931.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-029,INSP-019,Loose Fastening,High,113.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-030,INSP-025,Minor Rail Wear,Low,1284.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-031,INSP-013,Minor Rail Wear,Medium,957.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-032,INSP-006,Weld Failure,Medium,322.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-033,INSP-023,Missing Fastening,High,956.1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-034,INSP-006,Sleepers Damaged,Medium,412.2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-035,INSP-022,Weld Failure,Low,351.3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-036,INSP-026,Weld Failure,Medium,408.9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-037,INSP-019,Weld Failure,Low,986.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-038,INSP-021,Sleepers Damaged,Low,404.7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-039,INSP-024,Minor Rail Wear,High,881.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-040,INSP-012,Loose Fastening,Low,769.2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-041,INSP-025,Rail Fracture,Low,237.7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-042,INSP-026,Ballast Contamination,High,104.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-043,INSP-020,Sleepers Damaged,High,384.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-044,INSP-022,Missing Fastening,High,1328.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-045,INSP-025,Weld Failure,Low,447.3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-046,INSP-015,Rail Fracture,High,1315.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-047,INSP-017,Ballast Deficiency,High,1369.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-048,INSP-021,Loose Fastening,Low,567.1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,DEF-049,INSP-018,Rail Fracture,High,493.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TDMS_track_defects,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
