station_id,station_name,zone,division,location,source_table,section_id,source_station,dest_station,distance_km,max_speed,track_type,track_id (PK),line_type,rail_profile,sleeper_type,fastening_system,ballast_depth_mm,gauge_mm,gradient_ratio,curvature_degrees,start_km_post,end_km_post,traffic_load_gmt,geo_division,structure_id (PK),track_id (FK),structure_type,exact_km_post,installation_date
TEN,Tirunelveli Junction,Southern Railway,Madurai,Tirunelveli,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
NCJ,Nagercoil Junction,Southern Railway,Thiruvananthapuram,Nagercoil,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TN,Thoothukudi,Southern Railway,Madurai,Thoothukudi,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
VPT,Virudhunagar Junction,Southern Railway,Madurai,Virudhunagar,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TSI,Tenkasi Junction,Southern Railway,Madurai,Tenkasi,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
SCT,Sengottai,Southern Railway,Madurai,Sengottai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
RMM,Rameswaram,Southern Railway,Madurai,Rameswaram,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
MNM,Manamadurai Junction,Southern Railway,Madurai,Manamadurai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
KKDI,Karaikkudi Junction,Southern Railway,Madurai,Karaikkudi,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
PDKT,Pudukkottai,Southern Railway,Madurai,Pudukkottai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TJ,Thanjavur Junction,Southern Railway,Tiruchirappalli,Thanjavur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
KMU,Kumbakonam,Southern Railway,Tiruchirappalli,Kumbakonam,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
MV,Mayiladuthurai Junction,Southern Railway,Tiruchirappalli,Mayiladuthurai,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
TVR,Thiruvarur Junction,Southern Railway,Tiruchirappalli,Thiruvarur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
NGT,Nagappattinam Junction,Southern Railway,Tiruchirappalli,Nagappattinam,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
VLNK,Velankanni,Southern Railway,Tiruchirappalli,Velankanni,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
VM,Villupuram Junction,Southern Railway,Tiruchirappalli,Villupuram,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
PDY,Puducherry,Southern Railway,Tiruchirappalli,Puducherry,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
CUPJ,Cuddalore Port Junction,Southern Railway,Tiruchirappalli,Cuddalore,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
CDM,Chidambaram,Southern Railway,Tiruchirappalli,Chidambaram,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
ALU,Ariyalur,Southern Railway,Tiruchirappalli,Ariyalur,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
VRI,Vriddhachalam Junction,Southern Railway,Tiruchirappalli,Vriddhachalam,COA_stations,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MAS-CBE,MAS,CBE,495.0,130.0,Double Line,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MAS-MDU,MAS,MDU,493.0,110.0,Double Line,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MDU-TVC,MDU,TVC,301.0,100.0,Single Line,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-SA-TPJ,SA,TPJ,142.0,100.0,Single Line,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MAS-AJJ,MAS,AJJ,68.0,130.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-AJJ-KPD,AJJ,KPD,61.0,130.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-KPD-JTJ,KPD,JTJ,84.0,130.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-JTJ-SA,JTJ,SA,120.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-SA-ED,SA,ED,60.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-ED-TUP,ED,TUP,50.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TUP-CBE,TUP,CBE,50.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-CBE-PGT,CBE,PGT,55.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-PGT-SRR,PGT,SRR,44.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-SRR-CLT,SRR,CLT,86.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-CLT-CAN,CLT,CAN,89.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-CAN-MAQ,CAN,MAQ,132.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-SRR-TCR,SRR,TCR,33.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TCR-ERN,TCR,ERN,71.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-ERN-KTYM,ERN,KTYM,60.0,100.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-KTYM-QLN,KTYM,QLN,96.0,100.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-QLN-TVC,QLN,TVC,65.0,100.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TVC-NCJ,TVC,NCJ,71.0,100.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-NCJ-TEN,NCJ,TEN,73.0,100.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TEN-MDU,TEN,MDU,157.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MDU-DG,MDU,DG,62.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-DG-TPJ,DG,TPJ,94.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TPJ-VM,TPJ,VM,178.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-VM-CGL,VM,CGL,103.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-CGL-TBM,CGL,TBM,31.0,110.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TBM-MS,TBM,MS,25.0,110.0,Quadruple Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MS-MAS,MS,MAS,8.0,110.0,Quadruple Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-VM-PDY,VM,PDY,38.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TPJ-TJ,TPJ,TJ,50.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TJ-KMU,TJ,KMU,39.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-KMU-MV,KMU,MV,31.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MV-VM,MV,VM,114.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-SA-KRR,SA,KRR,85.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-KRR-DG,KRR,DG,74.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MDU-RMM,MDU,RMM,161.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TEN-TSI,TEN,TSI,72.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TSI-SCT,TSI,SCT,8.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-SCT-QLN,SCT,QLN,94.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-ED-KRR,ED,KRR,65.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-TPJ-KKDI,TPJ,KKDI,89.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-KKDI-MNM,KKDI,MNM,61.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MNM-VPT,MNM,VPT,66.0,100.0,Single Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-VPT-TEN,VPT,TEN,113.0,100.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MAS-GDR,MAS,MAS,138.0,130.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-AJJ-RU,AJJ,MAS,68.0,130.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,COA_sections,SEC-MAQ-MAJN,MAQ,MAJN,5.0,100.0,Double Electrified,,,,,,,,,,,,,,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-001,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:20:00,1.5,10.0,20.0,25.5,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-002,Loop line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:40:00,0.5,20.0,35.0,15.2,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-003,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:30:00,2.0,35.0,50.0,30.1,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-004,Yard track,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,05:00:00,1.0,50.0,65.0,12.4,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-005,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,04:15:00,1.5,65.0,80.0,28.5,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-006,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:30:00,0.5,80.0,95.0,18.2,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-007,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,03:45:00,2.0,95.0,110.0,32.1,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-008,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,04:20:00,1.0,110.0,125.0,29.8,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-009,Yard track,52 kg/m,Wooden,Elastic Rail Clips,250.0,1676.0,07:10:00,2.5,125.0,140.0,14.5,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-010,Loop line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:20:00,0.5,140.0,150.0,16.7,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-011,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:15:00,1.5,150.0,170.0,34.2,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-012,Main line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:40:00,1.0,170.0,185.0,22.4,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-013,Loop line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:00:00,3.0,185.0,200.0,11.2,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-014,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:50:00,1.5,200.0,220.0,31.5,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-015,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:45:00,0.5,220.0,230.0,15.8,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-016,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:10:00,2.0,230.0,245.0,27.6,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-017,Yard track,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:30:00,2.5,245.0,260.0,13.9,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-018,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:20:00,1.0,260.0,280.0,33.4,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-019,Loop line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:15:00,0.5,280.0,295.0,19.1,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-020,Main line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:30:00,1.5,295.0,310.0,24.8,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-021,Loop line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,05:50:00,2.0,310.0,325.0,12.7,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-022,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:40:00,1.0,325.0,345.0,30.2,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-023,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,07:00:00,0.5,345.0,355.0,17.5,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-024,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,04:00:00,1.5,355.0,370.0,29.4,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-025,Loop line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:20:00,3.0,370.0,385.0,10.8,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-026,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,03:30:00,2.0,385.0,400.0,35.1,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-027,Loop line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:10:00,0.5,400.0,415.0,18.9,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-028,Main line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:50:00,1.0,415.0,430.0,21.6,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-029,Loop line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:45:00,2.5,430.0,445.0,14.2,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-030,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:10:00,1.5,445.0,465.0,32.8,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-031,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:40:00,0.5,465.0,475.0,16.3,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-032,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:20:00,2.0,475.0,490.0,28.7,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-033,Yard track,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,05:30:00,1.5,490.0,505.0,11.9,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-034,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:45:00,1.0,505.0,525.0,31.4,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-035,Loop line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,07:15:00,0.5,525.0,540.0,19.6,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-036,Main line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:05:00,1.5,540.0,555.0,23.5,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-037,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:10:00,2.5,555.0,570.0,13.1,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-038,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:25:00,2.0,570.0,590.0,34.7,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-039,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:55:00,0.5,590.0,600.0,15.2,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-040,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:35:00,1.0,600.0,615.0,26.9,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-041,Yard track,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:20:00,3.0,615.0,630.0,12.4,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-042,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:55:00,1.5,630.0,650.0,30.8,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-043,Loop line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:05:00,0.5,650.0,665.0,18.4,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-044,Main line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:15:00,2.0,665.0,680.0,25.3,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-045,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,05:40:00,1.5,680.0,695.0,14.8,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-046,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:35:00,1.0,695.0,715.0,33.6,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-047,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,07:35:00,0.5,715.0,725.0,17.1,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-048,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:45:00,1.5,725.0,740.0,29.1,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-049,Loop line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:30:00,2.5,740.0,755.0,11.5,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-050,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:05:00,2.0,755.0,775.0,35.8,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-051,Loop line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:25:00,0.5,775.0,790.0,19.9,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-052,Main line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:25:00,1.0,790.0,805.0,22.7,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-053,Branch line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:05:00,3.0,805.0,820.0,13.6,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-054,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:50:00,1.5,820.0,840.0,31.9,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-055,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:50:00,0.5,840.0,850.0,16.8,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-056,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,04:10:00,1.5,850.0,865.0,30.5,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-057,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:20:00,0.5,865.0,880.0,18.2,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-058,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,03:45:00,2.0,880.0,895.0,28.4,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-059,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:15:00,2.5,895.0,910.0,12.1,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-060,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,04:20:00,1.0,910.0,925.0,32.6,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-061,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,05:40:00,0.5,925.0,940.0,16.4,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-062,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,03:55:00,1.5,940.0,955.0,29.1,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-063,Main line,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,06:50:00,3.0,955.0,970.0,14.5,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-064,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:10:00,1.0,970.0,985.0,34.2,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-065,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,07:30:00,0.5,985.0,1000.0,17.8,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-066,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:05:00,2.0,1000.0,1015.0,27.5,Thiruvananthapuram,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-067,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,05:25:00,2.5,1015.0,1030.0,13.9,Chennai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-068,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:30:00,1.5,1030.0,1045.0,31.8,Madurai,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-069,Loop line,52 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,06:15:00,0.5,1045.0,1060.0,19.3,Tiruchirappalli,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-070,Main line,60 kg/m,Concrete,Elastic Rail Clips,300.0,1676.0,04:40:00,1.0,1060.0,1075.0,26.7,Salem,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-071,Sidings,52 kg/m,Wooden,Dog Spikes,250.0,1676.0,07:05:00,3.0,1075.0,1090.0,11.2,Palakkad,,,,,
,,,,,TMS_track_sections,,,,,,,TRK-MAIN-072,Main line,60 kg/m,Concrete,Elastic Rail Clips,350.0,1676.0,03:50:00,1.5,1090.0,1105.0,33.1,Thiruvananthapuram,,,,,
